Species,Individual,HF megaplot tag # (if exists):,Date Collected,Notes
Acer pensylvanicum,ACEPEN01,61317,29-Sep-2014,-
Acer pensylvanicum,ACEPEN02,40172,29-Sep-2014,leaves starting to lose chlorophyll
Acer pensylvanicum,ACEPEN03,10471,29-Sep-2014,-
Acer pensylvanicum,ACEPEN04,10007,29-Sep-2014,-
Acer pensylvanicum,ACEPEN11,210053,29-Sep-2014,on locust opening road. 
Alnus incana ssp. rugosa,ALNINC01,na,29-Sep-2014,-
Alnus incana ssp. rugosa,ALNINC02,221141,29-Sep-2014,also collected fruit.
Alnus incana ssp. rugosa,ALNINC04,330734,1-Oct-2014,"in megaplot stand, tagged by julia."
Alnus incana ssp. rugosa,ALNINC05,na,2-Oct-2014,at front of mass in Gould woodlot stump dump. also collected fruit.
Alnus incana ssp. rugosa,ALNINC08,na,2-Oct-2014,on pond shore by Gould woodlot. also collected fruit.
Alnus incana ssp. rugosa,ALNINC09,na,8-Oct-2014,"On path past nature trail, between 2 swamps, also collected fruit."
Fagus grandifolia,FAGGRA03,40021,29-Sep-2014,-
Fagus grandifolia,FAGGRA09,10501,24-Sep-2014,"duplicate, also took tissue on Sep 29 from this tree. "
Fagus grandifolia,FAGGRA09,10501,29-Sep-2014,"duplicate, also took tissue on Sep 24 from this tree. "
Fagus grandifolia,FAGGRA10,20363,24-Sep-2014,close to FAGGRA 11
Fagus grandifolia,FAGGRA11,20345,24-Sep-2014,close to FAGGRA 10
Fagus grandifolia,FAGGRA13,91132,29-Sep-2014,"by eddy flux tower. replace one of first 3 FAGGRA with this sample, further away. "
Fagus grandifolia,FAGGRA14,na,29-Sep-2014,"on locust opening road. replace one of first 3 FAGGRA with this sample, further away. "
Kalmia angustifolia,KALANG05,na,8-Oct-2014,Clearing at start of nature trail. 
Lonicera canadensis,LONCAN01,na,3-Oct-2014,"Tom Swamp area 5, ~60 meters from LONCAN02"
Lonicera canadensis,LONCAN02,na,3-Oct-2014,"Tom Swamp area 5, ~60 meters from LONCAN01"
Lonicera canadensis,LONCAN04,na,3-Oct-2014,"Tom Swamp area 5, ~80 meters from LONCAN02"
Lonicera canadensis,LONCAN05,na,3-Oct-2014,"Tom Swamp area 5, further down the path"
